DEDUPLICATION REPORT (DISCARDED FILES)
========================================
Total Files Discarded: 3974
Breakdown by Source:
  - EXP_BEST: 0
  - EXP_OTHER: 3929
  - AF_TRIMMED: 0
  - AF_RAW: 45

Detailed List:
PDB_ID	Source	Folder
5XTZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7UP7	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4WKE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3PCX	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2HW9	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8D0P	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3QKL	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1RWK	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3TWS	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2BZF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4EHL	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4J1Z	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8WW2	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5CEI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PZE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6NJS	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3T7N	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3FJH	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8BI8	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6HXF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8WST	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
