FINAL SELECTION REPORT
========================================
Total Unique Structures: 21240
Breakdown by Source:
  - EXP_BEST: 7473
  - EXP_OTHER: 12438
  - AF_TRIMMED: 1131
  - AF_RAW: 198

Detailed List:
PDB_ID	Source	Original_File
4PML	EXP_BEST	clean_4PML.pdb
9BL2	EXP_BEST	clean_9BL2.pdb
6ILZ	EXP_BEST	clean_6ILZ.pdb
4HKK	EXP_BEST	clean_4HKK.pdb
4G84	EXP_BEST	clean_4G84.pdb
8H03	EXP_BEST	clean_8H03.pdb
1PES	EXP_BEST	clean_1PES.pdb
5E8Z	EXP_BEST	clean_5E8Z.pdb
8IY9	EXP_BEST	clean_8IY9.pdb
5PYN	EXP_BEST	clean_5PYN.pdb
3TPR	EXP_BEST	clean_3TPR.pdb
1XOZ	EXP_BEST	clean_1XOZ.pdb
6H06	EXP_BEST	clean_6H06.pdb
1MV9	EXP_BEST	clean_1MV9.pdb
5R65	EXP_BEST	clean_5R65.pdb
2YVI	EXP_BEST	clean_2YVI.pdb
3ZRL	EXP_BEST	clean_3ZRL.pdb
6C1C	EXP_BEST	clean_6C1C.pdb
6SHZ	EXP_BEST	clean_6SHZ.pdb
7B48	EXP_BEST	clean_7B48.pdb
4QIA	EXP_BEST	clean_4QIA.pdb
5SDV	EXP_BEST	clean_5SDV.pdb
7SK3	EXP_BEST	clean_7SK3.pdb
2L1L	EXP_BEST	clean_2L1L.pdb
3BSX	EXP_BEST	clean_3BSX.pdb
3BHX	EXP_BEST	clean_3BHX.pdb
8XVJ	EXP_BEST	clean_8XVJ.pdb
4JR1	EXP_BEST	clean_4JR1.pdb
8PXX	EXP_BEST	clean_8PXX.pdb
8OPI	EXP_BEST	clean_8OPI.pdb
1X59	EXP_BEST	clean_1X59.pdb
1JQZ	EXP_BEST	clean_1JQZ.pdb
7FT1	EXP_BEST	clean_7FT1.pdb
6RM5	EXP_BEST	clean_6RM5.pdb
6V0Z	EXP_BEST	clean_6V0Z.pdb
4Q2P	EXP_BEST	clean_4Q2P.pdb
6NJZ	EXP_BEST	clean_6NJZ.pdb
8WFI	EXP_BEST	clean_8WFI.pdb
1AWZ	EXP_BEST	clean_1AWZ.pdb
4YOL	EXP_BEST	clean_4YOL.pdb
4DH6	EXP_BEST	clean_4DH6.pdb
8DJE	EXP_BEST	clean_8DJE.pdb
2G9O	EXP_BEST	clean_2G9O.pdb
5SGN	EXP_BEST	clean_5SGN.pdb
9AYJ	EXP_BEST	clean_9AYJ.pdb
8XPV	EXP_BEST	clean_8XPV.pdb
6WB3	EXP_BEST	clean_6WB3.pdb
1CP3	EXP_BEST	clean_1CP3.pdb
2CT6	EXP_BEST	clean_2CT6.pdb
4REF	EXP_BEST	clean_4REF.pdb
2FQQ	EXP_BEST	clean_2FQQ.pdb
5SGU	EXP_BEST	clean_5SGU.pdb
7XC5	EXP_BEST	clean_7XC5.pdb
2EEA	EXP_BEST	clean_2EEA.pdb
3BAD	EXP_BEST	clean_3BAD.pdb
1IBC	EXP_BEST	clean_1IBC.pdb
3H1P	EXP_BEST	clean_3H1P.pdb
8FDS	EXP_BEST	clean_8FDS.pdb
4AYA	EXP_BEST	clean_4AYA.pdb
2IUG	EXP_BEST	clean_2IUG.pdb
2OK1	EXP_BEST	clean_2OK1.pdb
9BIM	EXP_BEST	clean_9BIM.pdb
6NV7	EXP_BEST	clean_6NV7.pdb
7YK2	EXP_BEST	clean_7YK2.pdb
4MZI	EXP_BEST	clean_4MZI.pdb
8DJD	EXP_BEST	clean_8DJD.pdb
5LIH	EXP_BEST	clean_5LIH.pdb
8F7S	EXP_BEST	clean_8F7S.pdb
5C1D	EXP_BEST	clean_5C1D.pdb
2A0Z	EXP_BEST	clean_2A0Z.pdb
8OMF	EXP_BEST	clean_8OMF.pdb
4AJD	EXP_BEST	clean_4AJD.pdb
5MHP	EXP_BEST	clean_5MHP.pdb
3GB2	EXP_BEST	clean_3GB2.pdb
6H5T	EXP_BEST	clean_6H5T.pdb
4XVE	EXP_BEST	clean_4XVE.pdb
1MV3	EXP_BEST	clean_1MV3.pdb
1Z2V	EXP_BEST	clean_1Z2V.pdb
3TG5	EXP_BEST	clean_3TG5.pdb
4Y5I	EXP_BEST	clean_4Y5I.pdb
7NMI	EXP_BEST	clean_7NMI.pdb
6I63	EXP_BEST	clean_6I63.pdb
7NXO	EXP_BEST	clean_7NXO.pdb
3R9A	EXP_BEST	clean_3R9A.pdb
5ADT	EXP_BEST	clean_5ADT.pdb
6Y3W	EXP_BEST	clean_6Y3W.pdb
7URE	EXP_BEST	clean_7URE.pdb
6Y4S	EXP_BEST	clean_6Y4S.pdb
6YM4	EXP_BEST	clean_6YM4.pdb
1RWV	EXP_BEST	clean_1RWV.pdb
4LLP	EXP_BEST	clean_4LLP.pdb
6ACB	EXP_BEST	clean_6ACB.pdb
5Y64	EXP_BEST	clean_5Y64.pdb
5Y2I	EXP_BEST	clean_5Y2I.pdb
5M9S	EXP_BEST	clean_5M9S.pdb
3CAA	EXP_BEST	clean_3CAA.pdb
4XXS	EXP_BEST	clean_4XXS.pdb
3GM3	EXP_BEST	clean_3GM3.pdb
6WOI	EXP_BEST	clean_6WOI.pdb
7DME	EXP_BEST	clean_7DME.pdb
