Filename,Folder,Format,UniProt_ID,PDB_ID,Has_Match_In_Other_Folder
clean_Q6ZUJ8.pdb,AlphaFold,PDB,clean_Q6ZUJ8,N/A,False
clean_O75838.pdb,AlphaFold,PDB,clean_O75838,N/A,False
clean_P0DW14.pdb,AlphaFold,PDB,clean_P0DW14,N/A,False
clean_Q8WUY3.pdb,AlphaFold,PDB,clean_Q8WUY3,N/A,False
clean_Q70YC5.pdb,AlphaFold,PDB,clean_Q70YC5,N/A,False
clean_Q96S79.pdb,AlphaFold,PDB,clean_Q96S79,N/A,False
clean_Q9H503.pdb,AlphaFold,PDB,clean_Q9H503,N/A,False
clean_O75132.pdb,AlphaFold,PDB,clean_O75132,N/A,False
clean_P41231.pdb,AlphaFold,PDB,clean_P41231,N/A,False
clean_Q9ULP0.pdb,AlphaFold,PDB,clean_Q9ULP0,N/A,False
clean_Q96E35.pdb,AlphaFold,PDB,clean_Q96E35,N/A,False
clean_O60831.pdb,AlphaFold,PDB,clean_O60831,N/A,False
clean_Q7Z6G3.pdb,AlphaFold,PDB,clean_Q7Z6G3,N/A,False
clean_P98169.pdb,AlphaFold,PDB,clean_P98169,N/A,False
clean_Q9NQZ8.pdb,AlphaFold,PDB,clean_Q9NQZ8,N/A,False
clean_Q08426.pdb,AlphaFold,PDB,clean_Q08426,N/A,False
clean_Q9UQ07.pdb,AlphaFold,PDB,clean_Q9UQ07,N/A,False
clean_Q9H3U7.pdb,AlphaFold,PDB,clean_Q9H3U7,N/A,False
clean_Q15067.pdb,AlphaFold,PDB,clean_Q15067,N/A,False
clean_Q14686.pdb,AlphaFold,PDB,clean_Q14686,N/A,False
clean_Q9BXS0.pdb,AlphaFold,PDB,clean_Q9BXS0,N/A,False
clean_Q86UK0.pdb,AlphaFold,PDB,clean_Q86UK0,N/A,False
clean_Q9H3T3.pdb,AlphaFold,PDB,clean_Q9H3T3,N/A,False
clean_O75061.pdb,AlphaFold,PDB,clean_O75061,N/A,False
clean_Q96A46.pdb,AlphaFold,PDB,clean_Q96A46,N/A,False
clean_Q92558.pdb,AlphaFold,PDB,clean_Q92558,N/A,False
clean_Q9BXU9.pdb,AlphaFold,PDB,clean_Q9BXU9,N/A,False
clean_Q86UN2.pdb,AlphaFold,PDB,clean_Q86UN2,N/A,False
clean_O94991.pdb,AlphaFold,PDB,clean_O94991,N/A,False
clean_Q9H8E8.pdb,AlphaFold,PDB,clean_Q9H8E8,N/A,False
clean_P22459.pdb,AlphaFold,PDB,clean_P22459,N/A,False
clean_Q14147.pdb,AlphaFold,PDB,clean_Q14147,N/A,False
clean_O43296.pdb,AlphaFold,PDB,clean_O43296,N/A,False
clean_Q9P0K7.pdb,AlphaFold,PDB,clean_Q9P0K7,N/A,False
clean_Q16048.pdb,AlphaFold,PDB,clean_Q16048,N/A,False
clean_Q96AA8.pdb,AlphaFold,PDB,clean_Q96AA8,N/A,False
clean_Q9H4E5.pdb,AlphaFold,PDB,clean_Q9H4E5,N/A,False
clean_Q9Y673.pdb,AlphaFold,PDB,clean_Q9Y673,N/A,False
clean_Q9NY65.pdb,AlphaFold,PDB,clean_Q9NY65,N/A,False
clean_P57737.pdb,AlphaFold,PDB,clean_P57737,N/A,False
clean_Q8N3Y3.pdb,AlphaFold,PDB,clean_Q8N3Y3,N/A,False
clean_P21673.pdb,AlphaFold,PDB,clean_P21673,N/A,False
clean_Q8WVD3.pdb,AlphaFold,PDB,clean_Q8WVD3,N/A,False
clean_O14682.pdb,AlphaFold,PDB,clean_O14682,N/A,False
clean_Q9NRF9.pdb,AlphaFold,PDB,clean_Q9NRF9,N/A,False
clean_Q9UII5.pdb,AlphaFold,PDB,clean_Q9UII5,N/A,False
clean_Q9P273.pdb,AlphaFold,PDB,clean_Q9P273,N/A,False
clean_Q8IZ81.pdb,AlphaFold,PDB,clean_Q8IZ81,N/A,False
clean_A1A519.pdb,AlphaFold,PDB,clean_A1A519,N/A,False
clean_Q9Y336.pdb,AlphaFold,PDB,clean_Q9Y336,N/A,False
clean_O75044.pdb,AlphaFold,PDB,clean_O75044,N/A,False
clean_Q04725.pdb,AlphaFold,PDB,clean_Q04725,N/A,False
clean_Q8IZ52.pdb,AlphaFold,PDB,clean_Q8IZ52,N/A,False
clean_Q96EF6.pdb,AlphaFold,PDB,clean_Q96EF6,N/A,False
clean_Q16842.pdb,AlphaFold,PDB,clean_Q16842,N/A,False
clean_Q86VE9.pdb,AlphaFold,PDB,clean_Q86VE9,N/A,False
clean_Q9NUQ7.pdb,AlphaFold,PDB,clean_Q9NUQ7,N/A,False
clean_Q9HD15.pdb,AlphaFold,PDB,clean_Q9HD15,N/A,False
clean_Q99622.pdb,AlphaFold,PDB,clean_Q99622,N/A,False
clean_Q99572.pdb,AlphaFold,PDB,clean_Q99572,N/A,False
clean_Q9P2S5.pdb,AlphaFold,PDB,clean_Q9P2S5,N/A,False
clean_Q3KNW5.pdb,AlphaFold,PDB,clean_Q3KNW5,N/A,False
clean_Q9NYA4.pdb,AlphaFold,PDB,clean_Q9NYA4,N/A,False
clean_Q13424.pdb,AlphaFold,PDB,clean_Q13424,N/A,False
clean_Q96HF1.pdb,AlphaFold,PDB,clean_Q96HF1,N/A,False
clean_Q9UQ49.pdb,AlphaFold,PDB,clean_Q9UQ49,N/A,False
clean_Q9UBM8.pdb,AlphaFold,PDB,clean_Q9UBM8,N/A,False
clean_Q96JF0.pdb,AlphaFold,PDB,clean_Q96JF0,N/A,False
clean_O43760.pdb,AlphaFold,PDB,clean_O43760,N/A,False
clean_Q14206.pdb,AlphaFold,PDB,clean_Q14206,N/A,False
clean_Q6ZWL3.pdb,AlphaFold,PDB,clean_Q6ZWL3,N/A,False
