From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
SLC28A2	O43868	reviewed	S28A2_HUMAN	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (hCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside co-transporter) (SPNT) (Solute carrier family 28 member 2)	SLC28A2 CNT2	Homo sapiens (Human)
XPNPEP2	O43895	reviewed	XPP2_HUMAN	Xaa-Pro aminopeptidase 2 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Membrane-bound aminopeptidase P) (Membrane-bound APP) (Membrane-bound AmP) (mAmP) (X-Pro aminopeptidase 2)	XPNPEP2	Homo sapiens (Human)
CHST1	O43916	reviewed	CHST1_HUMAN	Carbohydrate sulfotransferase 1 (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST) (EC 2.8.2.21)	CHST1	Homo sapiens (Human)
TIMM8A	O60220	reviewed	TIM8A_HUMAN	Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein)	TIMM8A DDP DDP1 TIM8A	Homo sapiens (Human)
PPP1R12B	O60237	reviewed	MYPT2_HUMAN	Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2)	PPP1R12B MYPT2	Homo sapiens (Human)
HS6ST1	O60243	reviewed	H6ST1_HUMAN	Heparan-sulfate 6-O-sulfotransferase 1 (HS6ST-1) (EC 2.8.2.-)	HS6ST1 HS6ST	Homo sapiens (Human)
SOX12	O60248	reviewed	SOX15_HUMAN	Transcription factor SOX-15 (Protein SOX-12) (Protein SOX-20) (SRY-box transcription factor 15)	SOX15 SOX12 SOX20 SOX26 SOX27	Homo sapiens (Human)
FGF17	O60258	reviewed	FGF17_HUMAN	Fibroblast growth factor 17 (FGF-17)	FGF17 UNQ161/PRO187	Homo sapiens (Human)
ADCY3	O60266	reviewed	ADCY3_HUMAN	Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)	ADCY3 KIAA0511	Homo sapiens (Human)
KIAA0513	O60268	reviewed	K0513_HUMAN	Uncharacterized protein KIAA0513	KIAA0513	Homo sapiens (Human)
KIF5C	O60282	reviewed	KIF5C_HUMAN	Kinesin heavy chain isoform 5C (EC 3.6.4.-) (Kinesin heavy chain neuron-specific 2) (Kinesin-1)	KIF5C KIAA0531 NKHC2	Homo sapiens (Human)
NUAK1	O60285	reviewed	NUAK1_HUMAN	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	Homo sapiens (Human)
ATP10A	O60312	reviewed	AT10A_HUMAN	Phospholipid-transporting ATPase VA (EC 7.6.2.1) (ATPase class V type 10A) (Aminophospholipid translocase VA) (P4-ATPase flippase complex alpha subunit ATP10A)	ATP10A ATP10C ATPVA ATPVC KIAA0566	Homo sapiens (Human)
MARCHF6	O60337	reviewed	MARH6_HUMAN	E3 ubiquitin-protein ligase MARCHF6 (EC 2.3.2.27) (Doa10 homolog) (Membrane-associated RING finger protein 6) (Membrane-associated RING-CH protein VI) (MARCH-VI) (Protein TEB-4) (RING finger protein 176) (RING-type E3 ubiquitin transferase MARCHF6)	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4	Homo sapiens (Human)
NUPR1	O60356	reviewed	NUPR1_HUMAN	Nuclear protein 1 (Candidate of metastasis 1) (Protein p8)	NUPR1 COM1	Homo sapiens (Human)
FADS1	O60427	reviewed	FADS1_HUMAN	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	FADS1 FADSD5	Homo sapiens (Human)
GSDME	O60443	reviewed	GSDME_HUMAN	Gasdermin-E (Inversely correlated with estrogen receptor expression 1) (ICERE-1) (Non-syndromic hearing impairment protein 5) [Cleaved into: Gasdermin-E, N-terminal (GSDME-NT); Gasdermin-E, C-terminal (GSDME-CT)]	GSDME DFNA5 ICERE1	Homo sapiens (Human)
EVI5	O60447	reviewed	EVI5_HUMAN	Ecotropic viral integration site 5 protein homolog (EVI-5) (Neuroblastoma stage 4S gene protein)	EVI5 NB4S	Homo sapiens (Human)
BRINP1	O60477	reviewed	BRNP1_HUMAN	BMP/retinoic acid-inducible neural-specific protein 1 (Deleted in bladder cancer protein 1)	BRINP1 DBC1 DBCCR1 FAM5A IB3089A	Homo sapiens (Human)
GPR137B	O60478	reviewed	G137B_HUMAN	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein)	GPR137B TM7SF1	Homo sapiens (Human)
ADCY9	O60503	reviewed	ADCY9_HUMAN	Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9)	ADCY9 KIAA0520	Homo sapiens (Human)
B4GALT3	O60512	reviewed	B4GT3_HUMAN	Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3)	B4GALT3	Homo sapiens (Human)
EIF4EBP3	O60516	reviewed	4EBP3_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 3 (4E-BP3) (eIF4E-binding protein 3)	EIF4EBP3	Homo sapiens (Human)
UGT1	O60656	reviewed	UD19_HUMAN	UDP-glucuronosyltransferase 1A9 (UGT1A9) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-9) (UDPGT 1-9) (UGT1*9) (UGT1-09) (UGT1.9) (UDP-glucuronosyltransferase 1-I) (UGT-1I) (UGT1I) (lugP4)	UGT1A9 GNT1 UGT1	Homo sapiens (Human)
SRPX2	O60687	reviewed	SRPX2_HUMAN	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)	SRPX2 SRPUL	Homo sapiens (Human)
ICMT	O60725	reviewed	ICMT_HUMAN	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	ICMT PCCMT	Homo sapiens (Human)
TIMM17B	O60830	reviewed	TI17B_HUMAN	Mitochondrial import inner membrane translocase subunit Tim17-B	TIMM17B TIM17B JM3	Homo sapiens (Human)
PRAF2	O60831	reviewed	PRAF2_HUMAN	PRA1 family protein 2	PRAF2 JM4	Homo sapiens (Human)
OPHN1	O60890	reviewed	OPHN1_HUMAN	Oligophrenin-1	OPHN1	Homo sapiens (Human)
TBL1	O60907	reviewed	TBL1X_HUMAN	F-box-like/WD repeat-containing protein TBL1X (SMAP55) (Transducin beta-like protein 1X) (Transducin-beta-like protein 1, X-linked)	TBL1X TBL1	Homo sapiens (Human)
